Filename,Size (MB),Compression Ratio (%),Time 1 (μs),Time 10 (μs),Time 100 (μs),Time 1000 (μs),Time 10000 (μs),Peak Memory (MB),Stack (B),plain_bytes,ratio,compressed_bytes
Escherichia_Coli,112.69,14.01,0.33,1.11,9.56,93.99,944.88,2008866816,8388608,118164029.44,14.01,16554781.


cere,461.29,2.7,0.39,1.19,9.92,97.45,970.05,3185901568,8388608,483697623.04,2.7,13059836.0

coreutils,205.28,9.24,0.35,1.46,13.04,131.48,1309.26,1700151296,8388608,215251681.28,9.24,19889255.0

dblp.xml.00001.1,104.86,0.62,0.14,1.01,9.69,96.49,962.57,266944512,8388608,109953679.36,0.62,681713.0
dblp.xml.00001.2,104.86,0.63,0.19,1.38,12.7,125.42,1243.59,267403264,8388608,109953679.36,0.63,692708.0

dblp.xml.0001.1,104.86,1.06,0.16,0.92,8.64,85.65,852.93,371150848,8388608,109953679.36,1.06,1165509.0
dblp.xml.0001.2,104.86,1.09,0.23,1.26,11.59,113.09,1127.51,371621888,8388608,109953679.36,1.09,1198495.0


dna.001.1,104.86,2.94,0.19,0.69,6.35,63.01,629.28,972513280,8388608,109953679.36,2.94,3232638.0
einstein.de.txt,92.76,0.45,0.18,1.25,11.52,113.93,1136.15,237236224,8388608,97265909.76,0.45,437697.0
einstein.en.txt,467.63,0.27,0.25,1.43,13.38,132.57,1323.98,1076436992,8388608,490345594.88,0.27,1323933.0

english.001.2,104.86,5.02,0.31,0.96,8.27,81.43,809.95,977559552,8388608,109953679.36,5.02,5519675.0

fib41,267.91,0.0,0.26,2.31,22.26,221.4,2209.17,539947008,8388608,280923996.16,0.0,280923996.0
influenza,154.81,5.77,0.3,0.87,7.47,72.97,725.76,1888501760,8388608,162330050.56,5.77,9366444.0

kernel,257.96,3.77,0.32,1.49,13.54,133.98,1339.22,1073180672,8388608,270490664.96,3.77,10197498.0

para,429.27,3.86,0.39,1.12,9.25,90.43,898.99,3575631872,8388608,450122219.52,3.86,17374718.0
proteins.001.1,104.86,3.76,0.2,0.76,6.99,69.27,689.66,960491520,8388608,109953679.36,3.76,4134258.0
rs.13,216.75,0.0,0.27,2.29,21.91,218.19,2178.79,437989376,8388608,227278848.0,0.0,227278848.0
sources.001.2,104.86,4.87,0.33,0.99,8.48,83.62,831.86,974491648,8388608,109953679.36,4.87,5354744.0
tm29,268.44,0.0,0.26,2.27,21.95,218.37,2177.61,540778496,8388608,281479741.44,0.0,281479741.0
world_leaders,46.97,4.98,0.23,1.17,10.89,107.29,1074.47,359116800,8388608,49251614.72,4.98,2452730.0
