file|algorithm|nLevels|rules_per_level
pseudo-real-dblp.xml.00001.2|GCX-y32|2|4:31-0,3:31-630657,2:32-109114
pseudo-real-dblp.xml.00001.2|GCX-y2|1|3:2-0,2:2-2936
pseudo-real-dblp.xml.00001.2|GCX-y4|13|15:3-0,14:2-20542,13:2-86924,12:2-97404,11:2-82546,10:2-56865,9:2-35250,8:2-19289,7:2-11091,6:2-6982,5:2-4903,4:2-3810,3:2-3204,2:4-2736
pseudo-real-dblp.xml.00001.2|GC2|19|19:2-2936,18:2-29541,17:2-41110,16:2-35042,15:2-25383,14:2-16515,13:2-9178,12:2-5086,11:2-3038,10:2-2012,9:2-1493,8:2-1232,7:2-1088,6:2-984,5:2-897,4:2-768,3:2-587,2:2-376,1:2-201
pseudo-real-dblp.xml.00001.2|GC4|10|10:4-29541,9:4-35042,8:4-16515,7:4-5086,6:4-2012,5:4-1232,4:4-984,3:4-768,2:4-376,1:4-101
pseudo-real-dblp.xml.00001.2|GC8|7|7:8-41110,6:8-16515,5:8-3038,4:8-1232,3:8-897,2:8-376,1:8-51
pseudo-real-dblp.xml.00001.2|GC16|5|5:16-35042,4:16-5086,3:16-1232,2:16-768,1:16-101
pseudo-real-dblp.xml.00001.2|GC32|4|4:32-25383,3:32-2012,2:32-897,1:32-101
pseudo-real-dblp.xml.00001.2|GC64|4|4:64-16515,3:64-1232,2:64-376,1:64-7
pseudo-real-dblp.xml.00001.2|GC128|3|3:128-9178,2:128-984,1:128-51
