file|algorithm|peak|stack|time|substring_size
artificial-rs.13|GCX-y32|645029|6291456|0,002122386000000|1
artificial-rs.13|GCX-y32|645029|6291456|0,003223451000000|10
artificial-rs.13|GCX-y32|645029|6291456|0,003107284000000|100
artificial-rs.13|GCX-y32|645029|6291456|0,009721532000000|1000
artificial-rs.13|GCX-y32|645029|6291456|0,073209243000000|10000
artificial-rs.13|GCX-y2|379757719|6291456|0,002272418000000|1
artificial-rs.13|GCX-y2|379757719|6291456|0,002360437000000|10
artificial-rs.13|GCX-y2|379757719|6291456|0,004307801000000|100
artificial-rs.13|GCX-y2|379757719|6291456|0,021628809000000|1000
artificial-rs.13|GCX-y2|379757719|6291456|0,185233847000000|10000
artificial-rs.13|GCX-y4|615773|6291456|0,004031638000000|1
artificial-rs.13|GCX-y4|615773|6291456|0,004114082000000|10
artificial-rs.13|GCX-y4|615773|6291456|0,006727574000000|100
artificial-rs.13|GCX-y4|615773|6291456|0,029800818000000|1000
artificial-rs.13|GCX-y4|615773|6291456|0,245899118000000|10000
artificial-rs.13|GC2|636507|6291456|0,000010041000000|1
artificial-rs.13|GC4|636121|6291456|0,000006123000000|1
artificial-rs.13|GC8|669545|6291456|0,000004919000000|1
artificial-rs.13|GC16|742797|6291456|0,000002916000000|1
artificial-rs.13|GC32|873385|6291456|0,000004541000000|1
artificial-rs.13|GC64|1148713|6291456|0,000003501000000|1
artificial-rs.13|GC128|2386865|6291456|0,000003499000000|1
artificial-rs.13|GC2|636507|6291456|0,000012041000000|10
artificial-rs.13|GC4|636121|6291456|0,000007001000000|10
artificial-rs.13|GC8|669545|6291456|0,000003918000000|10
artificial-rs.13|GC16|742797|6291456|0,000004457000000|10
artificial-rs.13|GC32|873385|6291456|0,000004539000000|10
artificial-rs.13|GC64|1148713|6291456|0,000003418000000|10
artificial-rs.13|GC128|2386865|6291456|0,000002833000000|10
artificial-rs.13|GC2|636507|6291456|0,000021542000000|100
artificial-rs.13|GC4|636121|6291456|0,000011919000000|100
artificial-rs.13|GC8|669545|6291456|0,000008164000000|100
artificial-rs.13|GC16|742797|6291456|0,000006625000000|100
artificial-rs.13|GC32|873385|6291456|0,000005458000000|100
artificial-rs.13|GC64|1148713|6291456|0,000005459000000|100
artificial-rs.13|GC128|2386865|6291456|0,000006291000000|100
artificial-rs.13|GC2|636507|6291456|0,000157664000000|1000
artificial-rs.13|GC4|636121|6291456|0,000081709000000|1000
artificial-rs.13|GC8|669545|6291456|0,000054583000000|1000
artificial-rs.13|GC16|742797|6291456|0,000034624000000|1000
artificial-rs.13|GC32|873385|6291456|0,000033583000000|1000
artificial-rs.13|GC64|1148713|6291456|0,000029836000000|1000
artificial-rs.13|GC128|2386865|6291456|0,000027832000000|1000
artificial-rs.13|GC2|636507|6291456|0,001146709000000|10000
artificial-rs.13|GC4|636121|6291456|0,000559126000000|10000
artificial-rs.13|GC8|669545|6291456|0,000403834000000|10000
artificial-rs.13|GC16|742797|6291456|0,000390834000000|10000
artificial-rs.13|GC32|873385|6291456|0,000355835000000|10000
artificial-rs.13|GC64|1148713|6291456|0,000319415000000|10000
artificial-rs.13|GC128|2386865|6291456|0,000271376000000|10000
