file|algorithm|peak|stack|time|substring_size
artificial-tm29|GCX-y32|450629|6291456|0,001307423000000|1
artificial-tm29|GCX-y32|450629|6291456|0,001337831000000|10
artificial-tm29|GCX-y32|450629|6291456|0,002007933000000|100
artificial-tm29|GCX-y32|450629|6291456|0,007726600000000|1000
artificial-tm29|GCX-y32|450629|6291456|0,061886590000000|10000
artificial-tm29|GCX-y2|451747|6291456|0,003158040000000|1
artificial-tm29|GCX-y2|451747|6291456|0,003588739000000|10
artificial-tm29|GCX-y2|451747|6291456|0,006816911000000|100
artificial-tm29|GCX-y2|451747|6291456|0,036092430000000|1000
artificial-tm29|GCX-y2|451747|6291456|0,311024081000000|10000
artificial-tm29|GCX-y4|450921|6291456|0,001878045000000|1
artificial-tm29|GCX-y4|450921|6291456|0,001865690000000|10
artificial-tm29|GCX-y4|450921|6291456|0,003600987000000|100
artificial-tm29|GCX-y4|450921|6291456|0,017117943000000|1000
artificial-tm29|GCX-y4|450921|6291456|0,135385008000000|10000
artificial-tm29|GC2|451631|6291456|0,000006666000000|1
artificial-tm29|GC4|450857|6291456|0,000004541000000|1
artificial-tm29|GC8|450633|6291456|0,000003417000000|1
artificial-tm29|GC16|450561|6291456|0,000003086000000|1
artificial-tm29|GC32|450597|6291456|0,000002625000000|1
artificial-tm29|GC64|450737|6291456|0,000002711000000|1
artificial-tm29|GC128|451013|6291456|0,000002581000000|1
artificial-tm29|GC2|451631|6291456|0,000008169000000|10
artificial-tm29|GC4|450857|6291456|0,000004374000000|10
artificial-tm29|GC8|450633|6291456|0,000003586000000|10
artificial-tm29|GC16|450561|6291456|0,000003958000000|10
artificial-tm29|GC32|450597|6291456|0,000004128000000|10
artificial-tm29|GC64|450737|6291456|0,000003249000000|10
artificial-tm29|GC128|451013|6291456|0,000002832000000|10
artificial-tm29|GC2|451631|6291456|0,000019502000000|100
artificial-tm29|GC4|450857|6291456|0,000012085000000|100
artificial-tm29|GC8|450633|6291456|0,000009001000000|100
artificial-tm29|GC16|450561|6291456|0,000006041000000|100
artificial-tm29|GC32|450597|6291456|0,000005622000000|100
artificial-tm29|GC64|450737|6291456|0,000005375000000|100
artificial-tm29|GC128|451013|6291456|0,000004914000000|100
artificial-tm29|GC2|451631|6291456|0,000130377000000|1000
artificial-tm29|GC4|450857|6291456|0,000084666000000|1000
artificial-tm29|GC8|450633|6291456|0,000055083000000|1000
artificial-tm29|GC16|450561|6291456|0,000033249000000|1000
artificial-tm29|GC32|450597|6291456|0,000038624000000|1000
artificial-tm29|GC64|450737|6291456|0,000045582000000|1000
artificial-tm29|GC128|451013|6291456|0,000036460000000|1000
artificial-tm29|GC2|451631|6291456|0,000976292000000|10000
artificial-tm29|GC4|450857|6291456|0,000497500000000|10000
artificial-tm29|GC8|450633|6291456|0,000451668000000|10000
artificial-tm29|GC16|450561|6291456|0,000368335000000|10000
artificial-tm29|GC32|450597|6291456|0,000286083000000|10000
artificial-tm29|GC64|450737|6291456|0,000314540000000|10000
artificial-tm29|GC128|451013|6291456|0,000282210000000|10000
