file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
real-Escherichia_Coli|GCX-y2|1126899850|6291456|2.133204000000000|528241390|6291456|0.234901000000000|190163842|112689515
real-Escherichia_Coli|GCX-y4|1051774932|6291456|5.583805000000000|345121688|6291456|0.441879000000000|44611760|112689515
real-Escherichia_Coli|GCX-y8|966047369|6291456|5.243111000000000|213700216|6291456|0.216739000000000|36607569|112689515
real-Escherichia_Coli|GCX-y16|991355060|6291456|5.870789000000000|239216124|6291456|0.478122000000000|88954068|112689515
real-Escherichia_Coli|GCX-y32|1002950385|6291456|5.786562000000000|243884193|6291456|0.459158000000000|96511569|112689515
real-Escherichia_Coli|GC2|1577653798|6291456|3.531782000000000|510441170|6291456|0.793464000000000|59682210|112689515
real-Escherichia_Coli|GC4|1464970372|6291456|3.066187000000000|281793516|6291456|0.431471000000000|56413884|112689515
real-Escherichia_Coli|GC8|1409164172|6291456|2.781808000000000|205051076|6291456|0.240532000000000|36016292|112689515
real-Escherichia_Coli|GC16|1460833860|6291456|2.920125000000000|243447408|6291456|0.461551000000000|102584896|112689515
real-Escherichia_Coli|GC32|1463206692|6291456|2.655069000000000|233998752|6291456|0.374316000000000|107221872|112689515
real-Escherichia_Coli|GC64|1466183716|6291456|2.412047000000000|231499452|6291456|0.273530000000000|111762492|112689515
real-Escherichia_Coli|GC128|1466627108|6291456|2.388027000000000|229380684|6291456|0.167931000000000|113152716|112689515
real-Escherichia_Coli|GCIS-ef|636081466|6291456|5.5525|709657679|6291456|0.8508|18800821|112689515
real-Escherichia_Coli|GCIS-s8b|614929632|6291456|5.2260|14832785|112689515
real-Escherichia_Coli|REPAIR-PlainSlp_32Fblc|1353485596|3480|19.790897|16105832|101152|0.885285||63607047
real-Escherichia_Coli|REPAIR-PlainSlp_FblcFblc|1353485596|3480|19.790897|16105832|101152|0.885285||54573129
real-Escherichia_Coli|7zip|-|-|56.7231|-|-|0.2822|6186227|112689515
