file|algorithm|nLevels|xs_size|level_cover_qtyRules|compressed_size|plain_size
real-kernel|GCX-y4|2|64490406|3:2-7107,2:2-342175,
|218866986|257961616
real-kernel|GCX-y8|2|10318466|3:5-741966,2:5-4846338,
|99563258|257961616
real-kernel|GCX-y16|2|4030651|3:8-2320814,2:8-3071388,
|100796596|257961616
real-kernel|GCX-y32|2|2579617|3:10-3291722,2:10-2189302,
|103276088|257961616
real-kernel|GCX-y64|2|1791401|3:12-4019660,2:12-1610706,
|108731668|257961616
real-kernel|GCX-y128|2|1791401|3:12-4019660,2:12-1610706,
|108731668|257961616
real-kernel|GC2|15|7874|15:2-7107,14:2-342174,13:2-2320814,12:2-4781641,11:2-4569340,10:2-3071389,9:2-1775208,8:2-949944,7:2-491930,6:2-249010,5:2-125298,4:2-62861,3:2-31452,2:2-15744,1:2-7874,
real-kernel|GC4|8|3937|8:4-342174,7:4-4781641,6:4-3071388,5:4-949943,4:4-249009,3:4-62861,2:4-15744,1:4-3937,
real-kernel|GC8|5|7873|5:8-2320814,4:8-3071388,3:8-491929,2:8-62861,1:8-7873,
real-kernel|GC16|4|3937|4:16-4781641,3:16-949943,2:16-62860,1:16-3937,
real-kernel|GC32|3|7873|3:32-4569339,2:32-249009,1:32-7873,
real-kernel|GC64|3|985|3:64-3071388,2:64-62860,1:64-985,
real-kernel|GC128|3|124|3:128-1775207,2:128-15743,1:128-124,
